site,lon,lat
ct25-562-07,-61.126,-62.67299
ct34-2499-08,3.25529,-54.54112
ct34-2484-08,-36.25892,-54.38668
ct37-617-08,-37.0999,-54.27947
ct37-618-08,-60.96513,-62.66317
ct37-619-08,-37.32434,-54.14666
ct37-757-08,-61.10399,-62.60552
ct37-762-08,-37.33605,-54.05303
ct37-780-08,-37.37148,-54.2058
ct39-40-08,-36.87624,-54.38597
ct39-45-08,-36.76439,-54.46543
ct39-46-08,-55.26306,-61.27347
ct39-49-08,-37.16895,-54.26583
ct40-848-08,-36.15975,-54.46288
ct40-853-08,-36.49931,-54.29183
ct46-69044-09,-36.18545,-54.43594
ct48-576b-09,-59.05036,-52.41829
ct49-Brahma-09,-37.69303,-54.01329
ct56-R760-10,-37.03945,-54.49222
ct56-R779-10,-36.08564,-54.52062
ct8_2849_05,-36.8105,-54.10226
ct8_Carlita_05,-37.33928,-54.05015
ct9_28591_05,-36.41215,-54.59758
ct9_28597_05,-36.68599,-54.47844
JUB2010_sel_a_m_03,-37.26132,-54.15241
JUB2010_sel_a_m_08,-36.18614,-54.82995
JUB2010_sel_a_m_13,-36.1651,-54.43135
SES_GG335_102364,37.8694,-46.93742
SES_GG335_78114_10,37.85661,-46.9576
SES_O401402_4215,69.6026,-49.66888
SES_OB175_117858,37.83257,-46.84909
SES_OO021_10432,37.79322,-46.83885
